"id","year","month","day","lon","lat","Size_class","catch","fhours","slp"
"AA_CT_20010906_210101",2001,9,6,-71.4166666666667,40.75,"small",6,6,102155
"AA_CT_20010908_110601",2001,9,8,-71.3333333333333,41.1666666666667,"small",4,10,101737
"AA_CT_20010916_110202",2001,9,16,-70.9166666666667,40.75,"small",2,4,101947
"AA_DE_19960804_110501",1996,8,4,-74.4166666666667,38.5,"small",3,6,102133
"AA_DE_19980613_110301",1998,6,13,-74.75,38.0833333333333,"small",3,8,100597
"AA_DE_20000629_210101",2000,6,29,-74.1833333333333,38.1,"small",2,11,101102
"AA_DE_20000629_210102",2000,6,29,-74.55,37.9833333333333,"small",5,8,101102
"AA_DE_20000630_110501",2000,6,30,-74.4,38.1833333333333,"small",2,10,101200
"AA_DE_20000630_110503",2000,6,30,-74.4,38.1833333333333,"small",2,4,101200
"AA_DE_20000630_110504",2000,6,30,-74.2833333333333,38.1,"small",8,8,101200
"AA_DE_20000703_210303",2000,7,3,-74.4,38.1833333333333,"small",2,10,101897
"AA_DE_20000708_110401",2000,7,8,-74.4166666666667,39.0833333333333,"small",1,8,101980
"AA_DE_20000715_110401",2000,7,15,-74.4,38.1833333333333,"small",3,8,100745
"AA_DE_20000715_110402",2000,7,15,-74.4,38.1833333333333,"small",4,8,100745
"AA_DE_20000716_110802",2000,7,16,-74.4,38.1833333333333,"small",3,8,100775
"AA_DE_20000716_110803",2000,7,16,-74.4,38.1833333333333,"small",3,6,100775
"AA_DE_20000717_210101",2000,7,17,-74.4666666666667,38.1833333333333,"small",1,7,101207
"AA_DE_20000717_210102",2000,7,17,-75.3333333333333,36.75,"small",2,8,101242
"AA_DE_20000727_210202",2000,7,27,-74.4,38.1833333333333,"small",0,6,101840
"AA_DE_20000727_210203",2000,7,27,-74.4,38.1833333333333,"small",1,6,101840
"AA_DE_20000727_210204",2000,7,27,-74.4,38.1833333333333,"small",0,8,101840
"AA_DE_20000727_210205",2000,7,27,-74.4,38.1833333333333,"small",2,7,101840
"AA_DE_20000727_210206",2000,7,27,-74.4,38.1833333333333,"small",5,8,101840
"AA_DE_20000730_111401",2000,7,30,-74.4,38.1833333333333,"small",1,8,101825
"AA_DE_20000731_210101",2000,7,31,-74.4666666666667,38.2,"small",1,5,101967
"AA_DE_20000804_110802",2000,8,4,-74.4,38.1833333333333,"small",1,8,101657
"AA_DE_20000804_110803",2000,8,4,-74.4,38.1833333333333,"small",0,8,101657
"AA_DE_20000804_110804",2000,8,4,-74.4,38.1833333333333,"small",1,7,101657
"AA_DE_20000805_110101",2000,8,5,-74.3333333333333,38.4166666666667,"small",1,4,101547
"AA_DE_20000805_110103",2000,8,5,-74.4,38.1833333333333,"small",0,8,101490
"AA_DE_20000826_110408",2000,8,26,-74.4,38.1833333333333,"small",1,7,101585
"AA_DE_20010630_110802",2001,6,30,-73.8333333333333,38.2333333333333,"small",1,5,101590
"AA_DE_20010630_110805",2001,6,30,-74.2833333333333,38.1,"small",1,8,101800
"AA_DE_20010630_110807",2001,6,30,-74.3333333333333,38.0333333333333,"small",1,7,101800
"AA_DE_20010630_110809",2001,6,30,-74.5,37.4833333333333,"small",0,8,101800
"AA_DE_20010701_110404",2001,7,1,-74.3333333333333,38.0333333333333,"small",0,8,101482
"AA_DE_20010713_110503",2001,7,13,-74.8333333333333,37.6666666666667,"small",4,8,101370
"AA_DE_20010714_110801",2001,7,14,-74.5,37.4833333333333,"small",4,8,101192
"AA_DE_20010715_110301",2001,7,15,-74.2833333333333,38.1,"small",0,8,101380
"AA_DE_20010716_210201",2001,7,16,-74.2833333333333,38.1,"small",2,6,101752
"AA_DE_20010716_210202",2001,7,16,-74.2833333333333,38.1,"small",9,7,101752
"AA_DE_20010717_210301",2001,7,17,-74.2833333333333,38.1,"small",1,7,101865
"AA_DE_20010718_210401",2001,7,18,-74.2833333333333,38.1,"small",2,2,101625
"AA_DE_20010718_210801",2001,7,18,-74.2833333333333,38.1,"small",4,8,101625
"AA_DE_20010718_210802",2001,7,18,-74.2833333333333,38.1,"small",3,8,101625
"AA_DE_20010723_006101",2001,7,23,-74.3,38.1166666666667,"small",3,24,101705
"AA_DE_20010723_210302",2001,7,23,-74.2833333333333,38.1,"small",2,2,101705
"AA_DE_20010728_006102",2001,7,28,-74.3,38.1166666666667,"small",0,6,102410
"AA_DE_20010728_110504",2001,7,28,-74.2833333333333,38.1,"small",1,6,102410
"AA_DE_20010803_110403",2001,8,3,-74.2833333333333,38.1,"small",4,8,102095
"AA_DE_20010803_110404",2001,8,3,-74.4,38.1833333333333,"small",1,4,102095
"AA_DE_20010803_110601",2001,8,3,-74.2833333333333,38.1,"small",10,8,102095
"AA_DE_20010803_110602",2001,8,3,-74.2833333333333,38.1,"small",8,8,102095
"AA_DE_20010803_110603",2001,8,3,-74.2833333333333,38.1,"small",8,9,102095
"AA_DE_20010803_110604",2001,8,3,-74.2833333333333,38.1,"small",5,8,102095
"AA_DE_20010803_110605",2001,8,3,-74.2833333333333,38.1,"small",10,8,102095
"AA_DE_20010804_110801",2001,8,4,-74.2833333333333,38.1,"small",3,6,101535
